Name,Group,Release,Daily,Weekly
BootTest.post_information(),,Yes,Yes,
BootTest.quick_boot_hotkey(),,Yes,Yes,
SmbiosTest.get_smbios(),,Yes,Yes,
SmbiosTest.smbios(),,Yes,Yes,
PXETest.pxe_option_rom(),,Yes,Yes,
PXETest.pxe_boot(),,Yes,Yes,
PXETest.pxe_retry(),,,Yes,
PXETest.pxe_protocol(),,Yes,Yes,
PXETest.Http_Boot(),,Yes,,
PCIETest.pcie_max_payload(),,,Yes,
PCIETest.pcie_aspm(),,Yes,Yes,
PCIETest.pcie_device_link_status(),,,Yes,
PCIETest.pcie_max_Readload(),,Yes,Yes,
PCIETest.Above_4G_Decoding(),,,Yes,
CpuTest.cpu_information(),,Yes,Yes,
CpuTest.cpu_hyper_threading(),,Yes,Yes,
CpuTest.cpu_cstate(),,Yes,,
CpuTest.cpu_pstate(),,Yes,,
CpuTest.cpu_cpb(),,Yes,,
CpuTest.cpu_downcore_control(),,Yes,Yes,
SetUpTest.Interface_information(),,Yes,Yes,
SetUpTest.Onboard_Ethernet_Controller(),,Yes,Yes,
SetUpTest.svm(),,Yes,,
SetUpTest.sriov(),,Yes,,
SetUpTest.usb_mass_storage_support(),,,Yes,
SetUpTest.usb_port_configuration(),,,Yes,
SetUpTest.memory_speed(),,Yes,Yes,
SetUpTest.HDD_Bind(),,Yes,,
SetUpTest.iommu(),,Yes,Yes,
SetUpTest.secure_boot(),,Yes,Yes,
SetUpTest.user_wait_time(),,Yes,Yes,
SetUpTest.sata_controller(),,Yes,,
SetUpTest.save_change_esc(),,Yes,,
SetUpTest.save_and_exit(),,Yes,,
SetupPasswordTest.password_security_001(),,Yes,Yes,
SetupPasswordTest.password_security_002(),,Yes,Yes,
SetupPasswordTest.password_security_003(),,Yes,Yes,
SetupPasswordTest.password_security_004(),,Yes,Yes,
SetupPasswordTest.password_security_005(),,Yes,Yes,
SetupPasswordTest.password_security_006(),,Yes,Yes,
SetupPasswordTest.password_security_007(),,Yes,Yes,
SetupPasswordTest.password_security_008(),,Yes,Yes,
SetupPasswordTest.password_security_009(),,Yes,Yes,
SetupPasswordTest.password_security_010(),,Yes,Yes,
SetupPasswordTest.password_security_011(),,Yes,Yes,
SetupPasswordTest.password_security_012(),,Yes,Yes,
SetupPasswordTest.password_security_013(),,Yes,Yes,
SetupPasswordTest.password_security_014(),,Yes,Yes,
SetupPasswordTest.password_security_015(),,Yes,Yes,
SetupPasswordTest.password_security_016(),,Yes,Yes,
SetupPasswordTest.password_security_017(),,Yes,Yes,
SetupPasswordTest.password_security_018(),,Yes,Yes,
SetupPasswordTest.password_security_019(),,Yes,Yes,
SetupPasswordTest.password_security_020(),,Yes,Yes,
SetupPasswordTest.password_security_021(),,Yes,Yes,
HddPasswordTest.hdd_password_001(),,Yes,Yes,
HddPasswordTest.hdd_password_002(),,Yes,Yes,
HddPasswordTest.hdd_password_003(),,Yes,Yes,
HddPasswordTest.hdd_password_004(),,Yes,Yes,
HddPasswordTest.hdd_password_005(),,Yes,Yes,
HddPasswordTest.hdd_password_006(),,Yes,Yes,
HddPasswordTest.hdd_password_007(),,Yes,Yes,
HddPasswordTest.hdd_password_008(),,Yes,Yes,
HddPasswordTest.hdd_password_009(),,Yes,Yes,
HddPasswordTest.hdd_password_010(),,Yes,Yes,
HddPasswordTest.hdd_password_011(),,Yes,Yes,
HddPasswordTest.hdd_password_012(),,Yes,Yes,Yes
HddPasswordTest.hdd_password_013(),,Yes,Yes,
HddPasswordTest.hdd_password_014(),,Yes,,
HddPasswordTest.hdd_password_015(),,Yes,,
HddPasswordTest.hdd_password_016(),,Yes,,
HddPasswordTest.hdd_password_017(),,Yes,,
