Name,Group,Release,Daily,Weekly
BootTest.post_information(),,Yes,Yes,
SmbiosTest.get_smbios(),,Yes,Yes,
SetUpTest.boot_logo(),,Yes,Yes,
SmbiosTest.smbios(),,Yes,Yes,
BootTest.quick_boot_hotkey(),,Yes,Yes,
PXETest.pxe_boot(),,Yes,Yes,
PXETest.pxe_option_rom(),,Yes,Yes,
PXETest.pxe_retry(),,Yes,Yes,
PXETest.pxe_protocol(),,Yes,Yes,
PXETest.pxe_network(),,Yes,Yes,
PXETest.pxe_boot_priority(),,Yes,Yes,
SetUpTest.iommu(),,Yes,Yes,
SetUpTest.svm(),,Yes,Yes,
SetUpTest.sriov(),,Yes,Yes,
PCIETest.pcie_max_payload(),,Yes,Yes,
PCIETest.pcie_aspm(),,Yes,Yes,
PCIETest.pcie_device_link_status(),,Yes,Yes,
PCIETest.above_4gb(),,Yes,Yes,
CpuTest.cpu_information(),,Yes,Yes,
CpuTest.cpu_hyper_threading(),,Yes,Yes,
CpuTest.cpu_frequency(),,Yes,Yes,
CpuTest.cpu_cstate(),,Yes,Yes,
CpuTest.cpu_pstate(),,Yes,Yes,
CpuTest.cpu_cpb(),,Yes,Yes,
CpuTest.cpu_aes(),,Yes,Yes,
CpuTest.cpu_downcore_control(),,Yes,Yes,
CpuTest.cpu_numa(),,Yes,Yes,
IpmitoolTest.frb2_watchdog(),,Yes,Yes,
IpmitoolTest.os_watchdog(),,Yes,Yes,
IpmitoolTest.power_loss(),,Yes,Yes,
IpmitoolTest.oem(),,Yes,Yes,
IpmitoolTest.bmc_user(),,Yes,Yes,
IpmitoolTest.fru(),,Yes,Yes,
SetUpTest.link_relation(),,Yes,Yes,
SetUpTest.option_rom(),,Yes,Yes,
SetUpTest.Interface_information(),,Yes,Yes,
SetUpTest.Onboard_Ethernet_Controller(),,Yes,Yes,
SetUpTest.wake_online(),,Yes,Yes,
SetUpTest.usb_mass_storage_support(),,Yes,Yes,
SetUpTest.usb_port_configuration(),,Yes,Yes,
SetUpTest.memory_speed(),,Yes,Yes,
SetUpTest.HDD_Bind(),,Yes,Yes,
SetUpTest.quiet_boot(),,Yes,Yes,
SetUpTest.secure_boot(),,Yes,Yes,
SetUpTest.user_wait_time(),,Yes,Yes,
SetUpTest.sata_controller(),,Yes,Yes,
SetUpTest.tpm(),,Yes,Yes,
SetUpTest.save_change_esc(),,Yes,Yes,
SetUpTest.save_change(),,Yes,Yes,
SetUpTest.save_and_exit(),,Yes,Yes,
SetUpTest.exit_without_save(),,Yes,Yes,
SetUpTest.load_default(),,Yes,Yes,
SetUpTest.load_default_f9(),,Yes,Yes,
SetUpTest.spi_bios_lock(),,Yes,Yes,
SetUpTest.check_default_bios(),,Yes,Yes,
IpmitoolTest.legacy_pxe_once_nor(),,Yes,Yes,
IpmitoolTest.legacy_setup_once_nor(),,Yes,Yes,
IpmitoolTest.legacy_hdd_once_nor(),,Yes,Yes,
IpmitoolTest.legacy_usb_once_nor(),,Yes,Yes,
IpmitoolTest.legacy_pxe_always_nor(),,Yes,Yes,
IpmitoolTest.legacy_setup_always_nor(),,Yes,Yes,
IpmitoolTest.legacy_usb_always_nor(),,Yes,Yes,
IpmitoolTest.legacy_hdd_always_nor(),,Yes,Yes,
IpmitoolTest.legacy_odd_always_nor(),,Yes,Yes,
IpmitoolTest.uefi_pxe_once_nor(),,Yes,Yes,
IpmitoolTest.uefi_setup_once_nor(),,Yes,Yes,
IpmitoolTest.ufei_hdd_once_nor(),,Yes,Yes,
IpmitoolTest.uefi_usb_once_nor(),,Yes,Yes,
IpmitoolTest.uefi_pxe_always_nor(),,Yes,Yes,
IpmitoolTest.uefi_setup_always_nor(),,Yes,Yes,
IpmitoolTest.uefi_hdd_always_nor(),,Yes,Yes,
IpmitoolTest.uefi_usb_always_nor(),,Yes,Yes,
IpmitoolTest.uefi_odd_always_nor(),,Yes,Yes,
IpmitoolTest.bmc_system_log(),,Yes,Yes,
SetupPasswordTest.password_security_001(),,Yes,Yes,
SetupPasswordTest.password_security_002(),,Yes,Yes,
SetupPasswordTest.password_security_003(),,Yes,Yes,
SetupPasswordTest.password_security_004(),,Yes,Yes,
SetupPasswordTest.password_security_005(),,Yes,Yes,
SetupPasswordTest.password_security_006(),,Yes,Yes,
SetupPasswordTest.password_security_007(),,Yes,Yes,
SetupPasswordTest.password_security_008(),,Yes,Yes,
SetupPasswordTest.password_security_009(),,Yes,Yes,
SetupPasswordTest.password_security_010(),,Yes,Yes,
SetupPasswordTest.password_security_011(),,Yes,Yes,
SetupPasswordTest.password_security_012(),,Yes,Yes,
SetupPasswordTest.password_security_013(),,Yes,Yes,
SetupPasswordTest.password_security_014(),,Yes,Yes,
SetupPasswordTest.password_security_015(),,Yes,Yes,
SetupPasswordTest.password_security_016(),,Yes,Yes,
SetupPasswordTest.password_security_017(),,Yes,Yes,
SetupPasswordTest.password_security_018(),,Yes,Yes,
SetupPasswordTest.password_security_019(),,Yes,Yes,
SetupPasswordTest.password_security_020(),,Yes,Yes,
SetupPasswordTest.password_security_021(),,Yes,Yes,
SetupPasswordTest.password_security_022(),,Yes,Yes,
SetupPasswordTest.password_security_023(),,Yes,Yes,
SetupPasswordTest.password_security_024(),,Yes,Yes,
SetupPasswordTest.password_security_025(),,Yes,Yes,
SetupPasswordTest.password_security_026(),,Yes,Yes,
HddPasswordTest.hdd_password_001(),,Yes,Yes,
HddPasswordTest.hdd_password_002(),,Yes,Yes,
HddPasswordTest.hdd_password_003(),,Yes,Yes,
HddPasswordTest.hdd_password_004(),,Yes,Yes,
HddPasswordTest.hdd_password_005(),,Yes,Yes,
HddPasswordTest.hdd_password_006(),,Yes,Yes,
HddPasswordTest.hdd_password_007(),,Yes,Yes,
HddPasswordTest.hdd_password_008(),,Yes,Yes,
HddPasswordTest.hdd_password_009(),,Yes,Yes,
HddPasswordTest.hdd_password_010(),,Yes,Yes,
HddPasswordTest.hdd_password_011(),,Yes,Yes,
HddPasswordTest.hdd_password_012(),,Yes,Yes,
HddPasswordTest.hdd_password_013(),,Yes,Yes,
HddPasswordTest.hdd_password_014(),,Yes,Yes,
HddPasswordTest.hdd_password_015(),,Yes,Yes,
HddPasswordTest.hdd_password_016(),,Yes,Yes,
HddPasswordTest.hdd_password_017(),,Yes,Yes,
UpdateBIOS.set_password(),,Yes,Yes,
UpdateBIOS.linux_keep_normal(),,Yes,Yes,
UpdateBIOS.shell_upgrade_all(),,Yes,Yes,
UpdateBIOS.setup_upgrade_normal(),,Yes,Yes,
UpdateBIOS.dos_keep_all(),,Yes,Yes,
UpdateBIOS.del_password(),,Yes,Yes,
