Name,Group,Release,Daily,Weekly
UpdateBIOS.shell_upgrade_all(),,Yes,Yes,
SmbiosTest.get_smbios(),,Yes,Yes,
SmbiosTest.smbios(),,Yes,Yes,
SmbiosTest.type13(),,Yes,Yes,
SmbiosTest.update_smbios(),,Yes,Yes,
CheckMsgTest.product_msg(),,Yes,Yes,
CheckMsgTest.bios_msg(),,Yes,Yes,
CheckMsgTest.memory_msg(),,Yes,Yes,
CheckMsgTest.cpu_msg(),,Yes,Yes,
CheckMsgTest.lan_nvme_msg(),,Yes,Yes,
PCIETest.pcie_retrain(),,Yes,Yes,
CheckMsgTest.memory_training(),,Yes,Yes,
CheckMsgTest.debug_mode(),,Yes,Yes,
CheckMsgTest.gpio(),,Yes,Yes,
CheckMsgTest.smbus(),,Yes,Yes,
PCIETest.pcie_resource_reservation(),,Yes,Yes,
CheckMsgTest.ntb_resource_reservation(),,Yes,Yes,
PCIETest.pcie_mem_enable(),,Yes,Yes,
PCIETest.smi(),,Yes,Yes,
PCIETest.io(),,Yes,Yes,
CheckMsgTest.che_bds(),,Yes,Yes,
CheckMsgTest.che_postcode(),,Yes,Yes,
CheckMsgTest.che_ras(),,Yes,Yes,
BootTest.boot(),,Yes,Yes,
BootTest.quick_boot_hotkey(),,Yes,Yes,
BootTest.boot_order(),,Yes,Yes,
BootTest.change_boot_order(),,Yes,Yes,
BootTest.pxe_boot(),,Yes,Yes,
CpuTest.cpu_hyper_threading(),,Yes,Yes,
CpuTest.cpu_numa(),,Yes,Yes,
CpuTest.cpu_pstate(),,Yes,Yes,
CpuTest.cpu_cstate(),,Yes,Yes,
CpuTest.cpu_cpb(),,Yes,Yes,
SetUpTest.aer_control(),,Yes,Yes,
SetUpTest.bios_default_value(),,Yes,Yes,
SetUpTest.console_direction(),,Yes,Yes,
SetUpTest.usb_mass_storage_support(),,Yes,Yes,
SetUpTest.secure_boot(),,Yes,Yes,
SetUpTest.network_boot(),,Yes,Yes,
SetUpTest.user_wait_time(),,Yes,Yes,
SetUpTest.close_kvm_msg(),,Yes,Yes,
SetUpTest.iommu(),,Yes,Yes,
SetUpTest.save_change_esc(),,Yes,Yes,
SetUpTest.save_and_exit(),,Yes,Yes,
SetUpTest.load_default(),,Yes,Yes,
SetUpTest.load_default_f9(),,Yes,Yes,
SetUpTest.reboot(),,Yes,Yes,
SetUpTest.update_unsign_bios(),,Yes,Yes,
UpdateBIOS.setup_downgrade(),,Yes,Yes,
UpdateBIOS.setup_upgrade(),,Yes,Yes,
UpdateBIOS.setup_keep(),,Yes,Yes,
UpdateBIOS.linux_downgrade_normal(),,Yes,Yes,
UpdateBIOS.linux_upgrade_normal(),,Yes,Yes,
UpdateBIOS.linux_keep_normal(),,Yes,Yes,
UpdateBIOS.linux_downgrade_all(),,Yes,Yes,
UpdateBIOS.linux_upgrade_all(),,Yes,Yes,
UpdateBIOS.linux_keep_all(),,Yes,Yes,
UpdateBIOS.shell_downgrade_normal(),,Yes,Yes,
UpdateBIOS.shell_upgrade_normal(),,Yes,Yes,
UpdateBIOS.shell_keep_normal(),,Yes,Yes,
UpdateBIOS.shell_downgrade_all(),,Yes,Yes,
UpdateBIOS.shell_upgrade_all(),,Yes,Yes,
UpdateBIOS.shell_keep_all(),,Yes,Yes,
SetupPasswordTest.password_security_001(),,Yes,Yes,
SetupPasswordTest.password_security_002(),,Yes,Yes,
SetupPasswordTest.password_security_003(),,Yes,Yes,
SetupPasswordTest.password_security_004(),,Yes,Yes,
SetupPasswordTest.password_security_005(),,Yes,Yes,
SetupPasswordTest.password_security_006(),,Yes,Yes,
SetupPasswordTest.password_security_007(),,Yes,Yes,
SetupPasswordTest.password_security_008(),,Yes,Yes,
SetupPasswordTest.password_security_009(),,Yes,Yes,
SetupPasswordTest.password_security_010(),,Yes,Yes,
SetupPasswordTest.password_security_011(),,Yes,Yes,
SetUpTest.quiet_boot(),,Yes,Yes,
SetUpTest.tpm(),,Yes,Yes,
