Name,Group,Release,Daily,Weekly
Release.bios_parallel_flash(),,Yes,,
BiosTest.post_test(),,Yes,Yes,Yes
Release.post_logo_check(),,Yes,Yes,Yes
Release.boot_to_uefi_os(),,Yes,,
BiosTest.warm_reboot(),,Yes,Yes,Yes
BiosTest.cold_reboot(),,Yes,Yes,Yes
Release.check_bmc_warning(),,Yes,Yes,Yes
Release.me_version_status(),,Yes,Yes,Yes
BiosTest.pxe_test(),,Yes,Yes,Yes
BiosTest.load_default(),,Yes,Yes,Yes
BiosTest.security_boot(),,Yes,Yes,Yes
Release.chipsec_test(),,Yes,,
Release.compare_fdm_log(),,Yes,,
Release.registry_check(),,Yes,,
Release.hpm_downgrade_test(),,Yes,,
Release.bios_downgrade_flash(),,Yes,,
BiosTest.usb_test(),,,Yes,Yes
CpuInit01.cpu_mem_info(),,,Yes,Yes
BiosTest.press_f2(),,,Yes,Yes
CpuInit01.static_turbo_default(),,,Yes,Yes
CpuInit01.ufs_default_value(),,,Yes,Yes
DefaultValueTest.rrqirq(),,,Yes,Yes
BiosTest.dram_rapl_option_check(),,,Yes,Yes
BiosTest.vtd(),,,Yes,Yes
BiosTest.cnd_default_enable(),,,Yes,Yes
CpuInit01.upi_link_status(),,,Yes,Yes
CpuInit01.cpu_cores_active_enable_1(),,,Yes,Yes
CpuInit01.cpu_cores_active_enable_middle(),,,Yes,Yes
CpuInit01.cpu_cores_active_enable_max(),,,Yes,Yes
CpuInit01.cpu_cores_disable_sys_normally(),,,Yes,Yes
CpuInit01.cores_customized_by_unitool(),,,Yes,Yes
CpuInit01.numa_01(),,,Yes,Yes
CpuInit01.numa_02(),,,Yes,Yes
CpuInit01.numa_03(),,,Yes,Yes
CpuInit01.cpu_compa_02(),,,Yes,Yes
CpuInit01.cpu_compa_03(),,,Yes,Yes
CpuInit01.cpu_compa_05(),,,Yes,Yes
CpuInit01.cpu_compa_06(),,,Yes,Yes
CpuInit01.cpu_compa_011(),,,Yes,Yes
CpuInit01.cpu_compa_017(),,,Yes,Yes
CpuInit01.cpu_SpreadSpectrum_001(),,,Yes,Yes
CpuInit01.cpu_ApicReport(),,,Yes,Yes
Security22.pwd_test_all(),,,Yes,Yes
Dfx20.cnd_support_test01(),,,Yes,Yes
Dfx20.cnd_support_test02(),,,Yes,Yes
Dfx20.vgaErr_to_bmc(),,,Yes,Yes
Dfx20.testcase_spcr_001(),,,Yes,Yes
MemInit02.dimm_power_mgt_01(),,,Yes,Yes
MemInit02.dimm_power_mgt_02(),,,Yes,Yes
MemInit02.dimm_power_mgt_04(),,,Yes,Yes
MemInit02.dimm_power_mgt_05(),,,Yes,Yes
MemInit02.dimm_power_mgt_07(),,,Yes,Yes
MemInit02.memory_compa_001(),,,Yes,Yes
MemInit02.memory_compa_006(),,,Yes,Yes
MemInit02.dimm_power_mgt_010(),,,Yes,Yes
MemInit02.dimm_power_mgt_011(),,,Yes,Yes
MemInit02.dimm_power_mgt_012(),,,Yes,Yes
MemInit02.mem_refresh_001(),,,Yes,Yes
MemInit02.mem_refresh_002(),,,Yes,Yes
MemInit02.set_mem_freq_001_006(),,,Yes,Yes
MemInit02.mtrr_max_range(),,,Yes,Yes
MemInit02.mtrr_fixed_range(),,,Yes,Yes
Io05.system_info_001(),,,Yes,Yes
Io05.system_info_003(),,,Yes,Yes
Io05.log_Time(),,,Yes,Yes
MemInit02.rmt_menu_test(),fulldebug,,Yes,Yes
PchInit03.usb_default_enable_check(),,,Yes,Yes
PchInit03.post_gpio_error_check(),fulldebug,,Yes,Yes
DefaultValueTest.pcie_port_bandwidth_check(),,,Yes,Yes
BiosTest.serial_print_keywords(),fulldebug,,Yes,Yes
BiosTest.serial_print_error_check(),,,Yes,Yes
PcieInit04.pcie_resource_mmiol(),,,Yes,Yes
