Name,Group,Release,Daily,Weekly
UpdateBIOS.update_bios(),,Yes,Yes,Yes
UpdateBIOS.downgrade_bios(),,Yes,Yes,Yes
UpdateBIOS.parallel_bios(),,Yes,Yes,Yes
BiosTest.load_default(),,Yes,Yes,Yes
Release.equip_mode_flag_check(),,Yes,Yes,Yes
Io05.Testcase_LogTime_01_03(),,Yes,Yes,Yes
Release.me_version_status(),,Yes,Yes,Yes
BiosTest.usb_test(),,Yes,Yes,Yes
CpuInit01.cpu_mem_info(),,Yes,Yes,Yes
BiosTest.pxe_test(),,Yes,Yes,Yes
BiosTest.press_f2(),,Yes,Yes,Yes
Release.chipsec_test(),,Yes,Yes,Yes
Smbios09.smbios_test_all(),os,Yes,Yes,Yes
BiosTest.post_test(),,Yes,Yes,Yes
CpuInit01.static_turbo_default(),,Yes,Yes,Yes
CpuInit01.ufs_default_value(),,Yes,Yes,Yes
DefaultValueTest.rrqirq(),,Yes,Yes,Yes
BiosTest.dram_rapl_option_check(),,Yes,Yes,Yes
CpuInit01.upi_link_status(),,Yes,Yes,Yes
BiosTest.PM(),,Yes,Yes,Yes
Security22.pwd_test_all(),,Yes,Yes,Yes
MemInit02.rmt_menu_test(),equip,Yes,Yes,Yes
Release.equip_iou_not_hidden(),equip,Yes,Yes,Yes
Smbios09.smbios_type128(),equip,Yes,Yes,Yes
BiosTest.security_boot(),equip,Yes,Yes,Yes
BiosTest.load_default(),equip,Yes,Yes,Yes
