Name,Group,Release,Daily,Weekly,Description
FlashTest.flash_tool_0000(),,Yes,Yes,Yes,启动到windows系统，初始化ssh
ByoCfgTest.byocfg_tool_2001(),,Yes,Yes,Yes,Shell下检查ByoCfg版本，帮助信息
ByoCfgTest.byocfg_tool_2002(),,Yes,Yes,Yes
ByoCfgTest.byocfg_tool_2003(),,Yes,Yes,Yes,Shell下dump变量值与系统下对比
ByoCfgTest.byocfg_tool_2004(),,Yes,Yes,
ByoCfgTest.byocfg_tool_2005(),,Yes,Yes,Yes,Shell下ByoCfg锁住测试
ByoCfgTest.byocfg_tool_2006(),,Yes,Yes,Yes,Shell下ByoCfg负面测试
ByoCfgTest.byocfg_tool_2007(),,Yes,Yes,Yes,Shell下ByoCfg修改启动顺序测试
ByoCfgTest.byocfg_tool_2008(),,Yes,Yes,Yes,Shell下ByoCfg检查重复选项名测试
ByoCfgTest.byocfg_tool_2101(),,Yes,Yes,Yes,Linux下检查ByoCfg版本，帮助信息
ByoCfgTest.byocfg_tool_2102(),,Yes,Yes,Yes
ByoCfgTest.byocfg_tool_2103(),,Yes,Yes,
ByoCfgTest.byocfg_tool_2104(),,Yes,Yes,Yes,Linux下ByoCfg锁住测试
ByoCfgTest.byocfg_tool_2105(),,Yes,Yes,Yes,Linux下ByoCfg负面测试
ByoCfgTest.byocfg_tool_2106(),,Yes,Yes,Yes,Linux下ByoCfg修改启动顺序测试
ByoCfgTest.byocfg_tool_2107(),,Yes,Yes,Yes,linux下ByoCfg检查重复选项名测试
ByoCfgTest.byocfg_tool_2201(),,Yes,Yes,Yes,Windows下检查ByoCfg版本，帮助信息
ByoCfgTest.byocfg_tool_2202(),,Yes,Yes,Yes
ByoCfgTest.byocfg_tool_2203(),,Yes,Yes,
ByoCfgTest.byocfg_tool_2204(),,Yes,Yes,Yes,Windows下ByoCfg锁住测试
ByoCfgTest.byocfg_tool_2205(),,Yes,Yes,Yes,Windows下ByoCfg负面测试
ByoCfgTest.byocfg_tool_2206(),,Yes,Yes,Yes,Windows下ByoCfg修改启动顺序测试
ByoCfgTest.byocfg_tool_2207(),,Yes,Yes,Yes,Windows下ByoCfg检查重复选项名测试
ByoDmiTest.byodmi_tool_1001(),,Yes,Yes,Yes,Shell下检查ByoDmi版本，帮助信息
ByoDmiTest.byodmi_tool_1002(),,Yes,,Yes,"Shell下检查ByoDmi,SMBIOS 信息"
ByoDmiTest.byodmi_tool_1003(),,Yes,Yes,Yes,ShellByoDmi修改SMBIOS，验证
ByoDmiTest.byodmi_tool_1004(),,Yes,Yes,Yes,Shell下ByoDmi锁住测试
ByoDmiTest.byodmi_tool_1005(),,Yes,Yes,Yes,Shell下ByoDmi负面测试
ByoDmiTest.byodmi_tool_1101(),,Yes,Yes,Yes,Linux下检查ByoDmi版本，帮助信息
ByoDmiTest.byodmi_tool_1102(),,Yes,,Yes,"Linux下检查ByoDmi,SMBIOS 信息"
ByoDmiTest.byodmi_tool_1103(),,Yes,Yes,Yes,LinuxByoDmi修改SMBIOS，验证
ByoDmiTest.byodmi_tool_1104(),,Yes,Yes,Yes,Linux下ByoDmi锁住测试
ByoDmiTest.byodmi_tool_1105(),,Yes,Yes,Yes,Linux下ByoDmi负面测试
ByoDmiTest.byodmi_tool_1201(),,Yes,Yes,Yes,Windows下检查ByoDmi版本，帮助信息
ByoDmiTest.byodmi_tool_1202(),,Yes,,Yes,"Windows下检查ByoDmi,SMBIOS 信息"
ByoDmiTest.byodmi_tool_1203(),,Yes,Yes,Yes,WindowsByoDmi修改SMBIOS，验证
ByoDmiTest.byodmi_tool_1204(),,Yes,Yes,Yes,Windows下ByoDmi锁住测试
ByoDmiTest.byodmi_tool_1205(),,Yes,Yes,Yes,Windows下ByoDmi负面测试
FlashTest.flash_tool_0001(),,Yes,,Yes,Shell下检查Flash工具版本，帮助信息
FlashTest.flash_tool_0002(),,Yes,,Yes,Shell保留升级BIOS
FlashTest.flash_tool_0003(),,Yes,,,Shell保留降级BIOS
FlashTest.flash_tool_0004(),,,,Yes,Shell完全刷新升级BIOS
FlashTest.flash_tool_0005(),,,,,Shell完全刷新降级BIOS
FlashTest.flash_tool_0006(),,Yes,,Yes,Shell下备份BIOS
FlashTest.flash_tool_0007(),,Yes,,Yes,"Shell下只保留Setup,升级更新BIOS，SMBIOS恢复默认"
FlashTest.flash_tool_0008(),,Yes,,,"Shell下只保留Setup,降级更新BIOS，SMBIOS恢复默认"
FlashTest.flash_tool_0009(),,,,Yes,"Shell下只保留SMBIOS,升级更新BIOS，SetUp恢复默认"
FlashTest.flash_tool_0010(),,,,,"Shell下只保留SMBIOS,降级更新BIOS，SetUp恢复默认"
FlashTest.flash_tool_0011(),,,,,Shell Update OA3
FlashTest.flash_tool_0012(),,Yes,,Yes,Shell下工具锁住，BIOS刷新失败测试
FlashTest.flash_tool_0013(),,Yes,,Yes,Shell下解锁后保留刷新BIOS
FlashTest.flash_tool_0014(),,,,Yes,Shell下解锁后完全刷新BIOS
FlashTest.flash_tool_0015(),,Yes,,Yes,Shell下解锁BIOS，刷新同时备份BIOS
FlashTest.flash_tool_0016(),,Yes,,Yes,"Shell下解锁BIOS，只保留Setup,更新BIOS，SMBIOS恢复默认"
FlashTest.flash_tool_0017(),,,,Yes,"Shell下解锁BIOS，只保留SMBIOS,更新BIOS，SetUp恢复默认"
FlashTest.flash_tool_0018(),,,,,Shell下解锁BIOS，更新OA3文件
FlashTest.flash_tool_0019(),,Yes,,Yes,Shell下设置管理员密码，保留升级BIOS
FlashTest.flash_tool_0020(),,Yes,,,Shell下设置管理员密码，保留降级BIOS
FlashTest.flash_tool_0021(),,,,Yes,Shell下设置管理员密码，完全升级BIOS
FlashTest.flash_tool_0022(),,,,,Shell下设置管理员密码，完全降级BIOS
FlashTest.flash_tool_0023(),,Yes,,Yes,"Shell下设置管理员只保留Setup,升级更新BIOS，SMBIOS恢复默认"
FlashTest.flash_tool_0024(),,Yes,,,"Shell下设置管理员密码只保留Setup,降级更新BIOS，SMBIOS恢复默认"
FlashTest.flash_tool_0025(),,,,Yes,"Shell下设置管理员密码只保留SMBIOS,升级更新BIOS，SetUp恢复默认"
FlashTest.flash_tool_0026(),,,,,"Shell下设置管理员密码只保留SMBIOS,降级更新BIOS，SetUp恢复默认"
FlashTest.flash_tool_0027(),,,,,"Shell下设置管理员密码,更新OA3"
