Name,Group,Release,Daily,Weekly,Description
SmbiosTest.get_smbios(),,,,,对比SMBIOS信息
BootTest.post_information(),,,,,POST信息检查
BootTest.quick_boot_hotkey(),,,,,快捷启动
BootTest.boot_order(),,,,,启动顺序
SetupTest.system_date_time(),,,,,系统日期和时间
SetupTest.onboard_lan(),,,,,板载网卡配置
SetupTest.sriov(),,,,,SR-IOV
SetupTest.user_wait_time(),,,,,用户等待时间
SetupTest.pxe_retry(),,,,,网络启动重试
SetupTest.net_boot(),,,,,网络引导
PCIETest.pcie_aspm(),,,,,PCIE 活动状态电源管理
PCIETest.pcie_max_payload(),,,,,PCIE最大负载
PCIETest.pcie_max_read(),,,,,PCIE最大读需求大小
SetupTest.usb_global_port(),,,,,USB全局端口测试(不接USB Hub)
SetupTest.usb_port(),,,,,USB所有端口测试(不接USB Hub)
SetupTest.usb_global_port_hub(),,,,,USB全局端口测试(接入USB Hub)
SetupTest.usb_port_hub(),,,,,USB指定端口测试(接入USB Hub)
SetupTest.onboard_sata_slot(),,,,,板载SATA槽开关
SetupTest.nvme_slot(),,,,,NVME槽开关
SetupTest.peu0_07_slot(),,,,,PEU0[0:7]槽开关
SetupTest.usb_slot(),,,,,板载USB槽开关
SetupTest.peu1_07_slot(),,,,,PEU1[0:7]槽开关
SetupTest.peu1_815_slot(),,,,,PEU1[8:15]槽开关
SetupTest.change_mem_frequency(),,,,,修改内存频率
SetupTest.hdd_bind(),,,,,硬盘绑定
SetupTest.load_default(),,,,,SetUp下恢复默认值测试
SetupTest.boot_watchdog(),,,,,系统定时器
SetupTest.save_change_esc(),,,,,通过ESC保存修改
SetupTest.save_change_f10(),,,,,通过F10保存修改
SetupTest.save_change_setup(),,,,,通过SetUp保存修改
UpdateTest.upgrade_bios_setup(),,,,,SetUp升级BIOS
UpdateTest.downgrade_bios_setup(),,,,,SetUp降级BIOS
UpdateTest.update_wrong_bios_setup(),,,,,"SetUp下更新未签名,其他平台BIOS"
SetupPswTest.setup_psw_4001(),,,,,检查管理员密码为大写字母加小写字母加数字加特殊字符
SetupPswTest.setup_psw_4002(),,,,,检查管理员密码长度为最小值
SetupPswTest.setup_psw_4003(),,,,,检查管理员密码长度为最大值
SetupPswTest.setup_psw_4005(),,,,,检查修改管理员密码测试
SetupPswTest.setup_psw_4006(),,,,,检查修改管理员为前5次测试
SetupPswTest.setup_psw_4007(),,,,,检查用户密码为大写字母加小写字母加数字加特殊字符
SetupPswTest.setup_psw_4008(),,,,,检查用户密码长度为最小值
SetupPswTest.setup_psw_4009(),,,,,检查用户密码长度为最大值
SetupPswTest.setup_psw_4011(),,,,,检查修改用户密码测试
SetupPswTest.setup_psw_4012(),,,,,检查修改用户为前5次测试
SetupPswTest.setup_psw_4013(),,,,,管理员密码负面测试
SetupPswTest.setup_psw_4014(),,,,,用户密码负面测试
SetupPswTest.setup_psw_4015(),,,,,同时设置管理员用户密码测试
SetupPswTest.setup_psw_4016(),,,,,"同时设置管理员用户密码,管理员密码登录,修改管理员,用户密码测试"
SetupPswTest.setup_psw_4017(),,,,,"同时设置管理员用户密码,用户密码登录,修改管理员,用户密码测试"
SetupPswTest.setup_psw_4018(),,,,,"同时设置管理员用户密码,F9不会清除密码,刷新BIOS后,清除密码"
SetupPswTest.setup_psw_4019(),,,,,"同时设置管理员用户密码,密码有效期测试"
SetupPswTest.setup_psw_4020(),,,,,"设置管理员密码,开机密码测试"
SetupPswTest.setup_psw_4021(),,,,,"设置用户密码,开机密码测试"
SetupPswTest.setup_psw_4022(),,,,,"同时设置管理员,用户密码,开机密码测试"
SetupPswTest.setup_psw_4023(),,,,,设置密码后，设置密码加密算法自动置灰测试
SecureBootTest.secure_boot_3001(),,,,,默认设定模式测试
SecureBootTest.secure_boot_3002(),,,,,设定模式恢复出厂模式
SecureBootTest.secure_boot_3003(),,,,,设定模式进入部署模式
SecureBootTest.secure_boot_3004(),,,,,设定模式进入审计模式
SecureBootTest.secure_boot_3005(),,,,,设定模式打开安全启动
SecureBootTest.secure_boot_3006(),,,,,设定模式SetUp下恢复默认值
SecureBootTest.secure_boot_3101(),,,,,用户模式下关闭安全启动
SecureBootTest.secure_boot_3102(),,,,,用户模式恢复出厂模式
SecureBootTest.secure_boot_3103(),,,,,用户模式进入审计模式
SecureBootTest.secure_boot_3104(),,,,,用户模式进入部署模式
SecureBootTest.secure_boot_3105(),,,,,用户模式重置为设定模式
SecureBootTest.secure_boot_3106(),,,,,用户模式保留刷新BIOS
SecureBootTest.secure_boot_3107(),,,,,用户模式完全刷新BIOS
SecureBootTest.secure_boot_3108(),,,,,用户模式恢复默认值
SecureBootTest.secure_boot_3201(),,,,,部署模式进入用户模式
SecureBootTest.secure_boot_3202(),,,,,部署模式关闭安全启动
SecureBootTest.secure_boot_3203(),,,,,部署模式重置为设定模式
SecureBootTest.secure_boot_3204(),,,,,部署模式保留刷新BIOS
SecureBootTest.secure_boot_3205(),,,,,部署模式完全刷新BIOS
SecureBootTest.secure_boot_3206(),,,,,部署模式恢复默认值
SecureBootTest.secure_boot_3301(),,,,,审计模式进入部署模式
SecureBootTest.secure_boot_3302(),,,,,审计模式恢复出厂模式
SecureBootTest.secure_boot_3303(),,,,,审计模式打开安全启动
SecureBootTest.secure_boot_3304(),,,,,审计模式保留刷新BIOS
SecureBootTest.secure_boot_3305(),,,,,审计模式完全刷新BIOS
