,Custom,Efficiency,Performance,Load Balance,High RAS,HPC,General Computing,Low Latency,Server Side Java,Memory Throughput,I/O Throughput,Energy Saving,NFV
MlcStreamerPrefetcherEnable,1,0,1,1,1,1,1,1,1,1,1,1,1
MlcSpatialPrefetcherEnable,1,0,1,1,1,1,1,1,1,1,1,1,1
DCUIPPrefetcherEnable,1,1,1,1,1,1,1,1,1,1,1,1,1
LlcPrefetchEnable,1,1,1,1,1,1,1,1,1,1,1,1,1
ProcessorHyperThreadingDisable,1,1,1,1,1,1,1,1,1,0,1,0,1
DCUStreamerPrefetcherEnable,1,0,1,1,1,1,1,1,1,1,1,1,1
ProcessorFlexibleRatioOverrideEnable,0,0,0,0,0,0,0,0,0,0,0,0,0
IsocEn,2,2,2,2,2,2,2,2,2,0,2,2,2
NumaEn,1,1,1,1,1,1,1,1,1,1,1,1,1
KtiLinkL0pEn,1,1,1,1,0,1,1,1,1,1,1,2,0
KtiLinkL1En,1,1,0,1,0,1,1,1,1,1,1,2,0
LLCDeadLineAlloc,1,1,1,1,1,1,1,1,1,1,1,1,1
KtiPrefetchEn,1,1,1,1,1,1,1,1,1,1,1,1,1
QpiLinkSpeed,0x7F,0x7F,0x7F,0x7F,0x7F,0x7F,0x7F,0x7F,0x7F,0x7F,0x7F,0x7F,0x7F
XptPrefetchEn,2,2,2,2,2,2,2,2,2,2,2,2,2
MonitorMWait,0,1,0,1,0,0,0,0,0,0,0,1,0
UncoreFreqScaling,1,1,1,1,1,1,1,1,1,1,1,1,1
PowerSaving,0,1,0,0,0,0,0,0,0,0,0,0,0
ProcessorEistPsdFunc,0,0,0,0,0,0,0,0,0,0,0,0,0
BootPState,0,0,0,0,0,0,0,0,0,0,0,0,0
EETurboDisable,0,0,0,0,0,0,0,0,0,0,0,0,1
PwrPerfTuning,0,0,2,0,0,0,0,2,2,0,2,0,1
AltEngPerfBIAS,7,7,7,7,7,7,7,7,7,7,7,7,0
ProcessorEistEnable,1,1,1,1,1,1,1,1,1,1,1,1,1
TurboMode,1,1,1,1,1,1,1,1,1,1,1,1,1
ProcessorEPPEnable,1,1,1,1,1,1,1,1,1,1,1,1,1
ProcessorEppProfile,128,128,0,128,128,128,128,0,0,128,128,128,128
StaticTurbo,0,0,1,0,0,0,0,1,1,0,2,0,0
FreqSelect,40,40,40,40,40,40,40,40,40,40,40,40,40
ProcessorC1eEnable,0,1,0,1,0,0,0,0,0,0,0,1,0
C6Enable,0,1,0,1,0,0,0,0,0,0,0,1,0
ProcessorHWPMEnable,0,0,2,0,0,0,0,2,2,0,2,0,0
PackageCState,0,0xFF,0,0xFF,0xFF,0,0xFF,0,0,0xFF,0,2,0
CurrentUnderReport,0,0,0,0,0,3,0,0,0,0,0,0,0
SystemErrorEn,1,1,1,1,1,1,1,1,1,1,1,1,1
FDMSupport,1,1,1,1,1,1,1,1,1,1,1,1,1
PoisonEn,1,1,1,1,1,1,1,1,1,1,1,1,1
CkeProgramming,0,1,0,0,0,0,0,0,0,0,0,1,0
refreshMode,2,1,1,1,1,1,1,1,1,1,1,1,1
PagePolicy,1,1,1,1,1,1,1,1,1,1,1,1,1
ADDDCEn,1,1,0,1,1,1,0,1,1,1,1,1,1
CustomRefreshRateEn,0,0,0,0,1,0,0,0,0,0,0,0,0
CustomRefreshRate,20,20,20,20,20,20,20,20,20,20,20,20,20
AttemptFastBootCold,1,1,1,1,0,1,1,1,1,1,1,1,1
PatrolScrub,2,2,2,2,2,2,2,2,2,2,2,2,2
PclsEn,1,1,1,1,1,1,1,1,1,1,1,1,1
pprType,1,1,1,1,1,1,1,1,1,1,1,1,1
