Name,Group,Release,Daily,Weekly
Release.release_parallel_flash_test(),,Yes,,
Release.release_downgrade_flash_test(),,Yes,,
Release.release_me_version_status(),,Yes,Yes,Yes
Release.release_hpm_upgrade_test(),,Yes,,
Release.release_hpm_downgrade_test(),,Yes,,
Release.release_post_logo_check(),,Yes,Yes,Yes
Release.release_post_hotkey_check(),,Yes,,Yes
Release.release_post_info_check(),,Yes,Yes,Yes
Release.release_boot_uefi_os(),,Yes,Yes,Yes
Release.release_boot_setup_ui(),,Yes,Yes,Yes
Release.release_boot_device_list(),,Yes,Yes,Yes
Release.release_pxe_boot_test(),,Yes,Yes,Yes
Release.check_bmc_warning(),,Yes,Yes,Yes
Release.release_set_load_default(),,Yes,Yes,Yes
Release.release_warm_reboot(),,Yes,,Yes
Release.release_cold_reboot(),,Yes,,Yes
Release.release_ac_cycle(),,Yes,,Yes
Release.release_processor_dimm_check(),,Yes,Yes,Yes
Release.release_security_boot(),equip,Yes,Yes,Yes
Release.release_legacy_pxe_boot_test(),,,Yes,Yes
Release.equip_tool_set_and_restore(),equip,Yes,,Yes
Release.Testcase_Release_021(),,,,
Release.Testcase_Interface_001(),,,,
Release.Testcase_Interface_002(),,,,
Release.Testcase_Interface_003(),,,,
Release.Testcase_Interface_004(),,,,
Release.Testcase_Interface_005(),,,,
Release.Testcase_Interface_006(),,,,
Release.Testcase_Interface_007(),,,,
Release.Testcase_Interface_008(),,,,
Release.Testcase_Interface_009(),,,,
Release.Testcase_Interface_012(),,,,
Smbios.smbios_test_all(),os,Yes,Yes,Yes
Smbios.smbios_type128(),equip,Yes,,Yes
Cpu.Testcase_Numa_001(),,,Yes,Yes
Cpu.Testcase_Numa_002(),,,,Yes
Cpu.Testcase_Numa_003(),,,,Yes
Cpu.Testcase_Numa_004(),,,,Yes
Cpu.Testcase_Numa_005(),,,,Yes
Cpu.Testcase_Numa_006(),,,Yes,Yes
Cpu.Testcase_Vtd_001(),,,,Yes
Cpu.Testcase_Vtd_002(),,,,Yes
Cpu.Testcase_Vtd_004(),,,Yes,Yes
Cpu.Testcase_Vtd_005(),,,,Yes
Cpu.Testcase_ApicReport_001(),,,Yes,Yes
Cpu.Testcase_ApicReport_002(),,,Yes,Yes
Cpu.Testcase_ApicReport_003(),,,Yes,Yes
Cpu.Testcase_ApicReport_004(),,,Yes,Yes
Cpu.Testcase_ApicReport_005(),,,Yes,Yes
Cpu.Testcase_ApicReport_006(),,,Yes,Yes
Cpu.Testcase_ApicReport_007(),,,Yes,Yes
Cpu.Testcase_ApicReport_008(),,,Yes,Yes
Cpu.Testcase_CpuCompa_001(),,,,Yes
Cpu.Testcase_CpuCompa_002(),,,Yes,Yes
Cpu.Testcase_CpuCompa_003(),,,,Yes
Cpu.Testcase_CpuCompa_004(),,,Yes,Yes
Cpu.Testcase_CpuCompa_005(),,,Yes,Yes
Cpu.Testcase_CpuCompa_009(),,,,Yes
Cpu.Testcase_CpuCompa_006(),,,Yes,Yes
Cpu.Testcase_CpuCompa_010(),,,,Yes
Cpu.Testcase_CpuCompa_017(),,,,Yes
Cpu.Testcase_CpuCompa_019(),,,Yes,Yes
Cpu.Testcase_CpuCompa_024(),,,,Yes
Cpu.Testcase_CpuCompa_025(),,,,Yes
Cpu.Testcase_CpuCompa_029(),,,,Yes
Cpu.Testcase_CpuCompa_033(),,,,Yes
Cpu.Testcase_CpuInitUefi_001(),,,,Yes
Cpu.Testcase_CpuInitLegacy_001(),,,,Yes
Cpu.Testcase_CoreDisable_001(),,,,Yes
Cpu.Testcase_CoreDisable_002(),,,,Yes
Cpu.Testcase_CoreDisable_003(),,,,Yes
Cpu.Testcase_CoreDisable_004(),,,,Yes
Cpu.Testcase_CoreDisable_005(),,,,Yes
Cpu.Testcase_CoreDisable_008(),,,,Yes
Cpu.Testcase_CoreDisable_009(),,,Yes,Yes
Cpu.Testcase_CoreDisable_010(),,,Yes,Yes
Cpu.Testcase_CoreDisable_011(),,,Yes,Yes
Cpu.Testcase_CoreDisable_012(),,,Yes,Yes
Cpu.Testcase_CoreDisable_013(),,,Yes,Yes
Memory.Testcase_MemoryCompa_001(),,,Yes,Yes
Memory.Testcase_MemoryCompa_005(),,,Yes,Yes
Memory.Testcase_MemoryCompa_006(),,,Yes,Yes
Memory.Testcase_MemoryCompa_008(),,,,Yes
Memory.Testcase_MemoryCompa_010(),,,,Yes
Memory.Testcase_MemoryCompa_011(),,,,Yes
Memory.Testcase_MemoryCompa_012(),,,,Yes
Memory.Testcase_MemoryTurbo_001(),,,Yes,Yes
Memory.Testcase_MemoryTurbo_002(),,,Yes,Yes
Memory.Testcase_MemoryTurbo_006(),,,Yes,Yes
Memory.Testcase_MemPower_003(),,,Yes,Yes
Memory.Testcase_MemPower_004(),,,,Yes
Memory.Testcase_MemPower_005(),,,Yes,Yes
Memory.Testcase_MemPower_006(),,,Yes,Yes
Memory.Testcase_MemPower_007(),,,,Yes
Memory.Testcase_MemPower_009(),,,,Yes
Memory.Testcase_MemRefresh_001(),,,Yes,Yes
Memory.Testcase_MemRefresh_002(),,,Yes,Yes
Memory.Testcase_MemRefresh_004(),,,Yes,Yes
Memory.Testcase_MemMargin_001(),,,,Yes
Memory.Testcase_MemMargin_003(),,,,Yes
Memory.Testcase_Mtrr_001(),,,Yes,Yes
Memory.Testcase_Mtrr_002(),,,Yes,Yes
Memory.Testcase_SetMemFreq_001(),,,Yes,Yes
Memory.Testcase_SetMemFreq_002(),,,Yes,Yes
Memory.Testcase_SetMemFreq_004(),,,,Yes
Memory.Testcase_SpdCrcCheck_001(),,,Yes,Yes
Memory.Testcase_SpdCrcCheck_009(),,,Yes,Yes
PowerEfficiency.power_efficiency_mode_loop(),,,,Yes
PowerEfficiency.check_power_efficiency_in_setup(),,,,
PowerEfficiency.Testcase_RrqIrq_004(),,,,Yes
PowerEfficiency.Testcase_RrqIrq_005(),,,Yes,Yes
PowerEfficiency.Testcase_DramRapl_001(),,,Yes,Yes
PowerEfficiency.Testcase_DEMT_001(),,,Yes,Yes
PowerEfficiency.Testcase_StaticTurbo_001(),,,Yes,Yes
PowerEfficiency.Testcase_HWP_001(),,,Yes,Yes
PowerEfficiency.Testcase_Ufs_001(),,,Yes,Yes
PowerEfficiency.Testcase_Dynamic_PowerEfficiency(),,,,Yes
Pch.Testcase_GpioSetting_002(),,,Yes,Yes
Pch.Testcase_SataHotplug_001(),,,Yes,Yes
Pch.Testcase_SpinUp_001(),,,Yes,Yes
Pch.Testcase_DefaultRtcTime_004(),,,,Yes
Pch.Testcase_DefaultRtcTime_003(),,,,Yes
Pch.Testcase_UsbPort_001(),,,Yes,Yes
Pcie.Testcase_PcieInit_001(),,,Yes,Yes
Pcie.Testcase_PcieResource_003(),,,Yes,Yes
Pcie.Testcase_PcieResource_004(),,,Yes,Yes
Pcie.Testcase_PcieResource_005(),,,Yes,Yes
Pcie.Testcase_PcieResource_008(),,,,Yes
Pcie.Testcase_PcieResource_009(),,,,Yes
Pcie.Testcase_PcieResource_001(),,,,Yes
Pcie.Testcase_PcieResource_002(),,,Yes,Yes
Pcie.Testcase_PcieResource_006(),,,Yes,Yes
Pcie.Testcase_PcieResource_012(),,,Yes,Yes
Pcie.Testcase_PcieResource_010(),,,,Yes
Pcie.Testcase_PcieResourceUefi_007(),,,,Yes
Pcie.Testcase_PcieResourceUefi_009(),,,Yes,Yes
Pcie.Testcase_PcieResourceLegacy_007(),,,,Yes
Pcie.Testcase_PcieResourceLegacy_009(),,,Yes,Yes
Pcie.Testcase_PciePortItem_001(),,,Yes,Yes
Pcie.Testcase_PciePortItem_002(),,,,Yes
Pcie.Testcase_Aspm_001(),,,Yes,Yes
Pcie.Testcase_Aspm_002(),,,,Yes
Pcie.Testcase_Aspm_003(),,,,Yes
Pcie.Testcase_Sriov_001(),,,Yes,Yes
Pcie.Testcase_Sriov_002(),,,,Yes
Pcie.Testcase_Sriov_003(),,,,Yes
Pcie.Testcase_SlotPxeCfgUefi_001(),,,Yes,Yes
Pcie.Testcase_SlotPxeCfgUefi_002(),,,Yes,Yes
Pcie.Testcase_SlotPxeCfgUefi_003(),,,Yes,Yes
Pcie.Testcase_SlotPxeCfgLegacy_001(),,,Yes,Yes
Pcie.Testcase_SlotPxeCfgLegacy_002(),,,,Yes
Pcie.Testcase_SlotPxeCfgLegacy_003(),,,,Yes
Pcie.Testcase_OcpPxeCfgUefi_001(),,,Yes,Yes
Pcie.Testcase_Sriov_006(),,,,Yes
Pcie.Testcase_DisplayMode_001(),,,,Yes
Pcie.Testcase_Vroc_005(),,,Yes,Yes
Pcie.Testcase_Maxpayload_001(),,,Yes,Yes
Pcie.Testcase_RegisterCheck_002(),,,Yes,Yes
Pcie.Testcase_ResourceAllocationUefi_001(),,,,Yes
Pcie.Testcase_ResourceAllocationLegacy_001(),,,,Yes
PublicCloud.Testcase_CstateOsIndicator_001(),,,Yes,Yes
SingleBuild.Testcase_ReportMeminfoToBmc_001(),,,Yes,Yes
SingleBuild.Testcase_ReportMeminfoToBmc_002(),,,,Yes
SingleBuild.Testcase_ReportMeminfoToBmc_004(),,,Yes,Yes
SingleBuild.Testcase_ReportMeminfoToBmc_005(),,,,Yes
SecurePrivacy.Testcase_CheckPwdHistory_001(),,,,Yes
SecurePrivacy.Testcase_CheckPwdHistory_002(),,,,Yes
SecurePrivacy.Testcase_CheckPwdHistory_003(),,,,Yes
SecurePrivacy.Testcase_CheckPwdHistory_004(),,,,Yes
SecurePrivacy.Testcase_CheckPwdHistory_005(),,,,Yes
SecurePrivacy.Testcase_CheckPwdHistory_006(),,,,Yes
SecurePrivacy.Testcase_CheckPwdHistory_007(),,,,Yes
SecurePrivacy.Testcase_CheckPwdDiff_001(),,,,Yes
SecurePrivacy.Testcase_CheckPwdDiff_002(),,,,Yes
SecurePrivacy.Testcase_CheckPwdDiff_003(),,,,Yes
