Name,Group,Release,Daily,Weekly
BiosSetup.Testcase_LoadCustomDefaultLegacy_005(),equip,,Yes,Yes
BiosSetup.Testcase_CpuDisplay_001(),,,Yes,Yes
BiosSetup.Testcase_CpuDisplay_004(),,,Yes,Yes
BiosSetup.Testcase_MemoryDisplay_001(),,,Yes,Yes
BiosSetup.Testcase_MemoryDisplay_002(),,,,Yes
BiosSetup.Testcase_UsbCount_001(),,,Yes,Yes
BiosSetup.Testcase_UsbCount_002(),,,Yes,Yes
BiosSetup.Testcase_UsbCount_004(),,,Yes,Yes
BiosSetup.Testcase_MainDisplay_001(),,,Yes,Yes
BiosSetup.Testcase_MainDisplay_004(),,,,Yes
BiosSetup.Testcase_HelpInfo_005(),,,Yes,Yes
BiosSetup.Testcase_HelpInfo_003(),,,Yes,Yes
BiosSetup.Testcase_HelpInfoUefi_001(),,,Yes,Yes
BiosSetup.Testcase_SimplePassword_001(),,,,Yes
BiosSetup.Testcase_SimplePassword_002(),,,Yes,Yes
BiosSetup.Testcase_SimplePassword_003(),,,,Yes
BiosSetup.Testcase_SimplePassword_004(),,,,Yes
BiosSetup.Testcase_SimplePassword_005(),,,,Yes
BiosSetup.Testcase_SimplePassword_006(),,,,Yes
BiosSetup.Testcase_SimplePassword_007(),,,,Yes
BiosSetup.Testcase_LogLevel_004(),equip,,,Yes
BiosSetup.Testcase_SerialSelect_001(),,,Yes,Yes
BiosSetup.Testcase_SerialSelect_003(),,,Yes,Yes
BiosSetup.Testcase_SerialSelect_005(),,,,Yes
BiosSetup.Testcase_WatchDog_001(),,,Yes,Yes
BiosSetup.Testcase_WatchDog_002(),,,Yes,Yes
BiosSetup.Testcase_WatchDog_003(),,,Yes,Yes
BiosSetup.Testcase_WatchDog_004(),,,Yes,Yes
BiosSetup.Testcase_WatchDog_005(),,,,Yes
BiosSetup.Testcase_WatchDog_006(),,,,Yes
BiosSetup.Testcase_WatchDogUefi_004(),,,,Yes
Bmc.Testcase_ReportSmbiosToBmc_001(),,,Yes,Yes
Bmc.Testcase_BmcSetBootOptionUefi_002(),,,,Yes
Bmc.Testcase_BmcSetBootOptionUefi_005(),,,Yes,Yes
Bmc.Testcase_BmcSetBootOptionUefi_006(),,,,Yes
Bmc.Testcase_BmcSetBootOptionUefi_009(),,,Yes,Yes
Bmc.Testcase_BmcSetBootOptionUefi_010(),,,,Yes
Bmc.Testcase_BmcSetBootOptionUefi_011(),,,,Yes
Bmc.Testcase_BmcSetBootOptionUefi_012(),,,,Yes
Bmc.Testcase_BmcSetBootOptionUefi_013(),,,Yes,Yes
Bmc.Testcase_BmcSetBootOptionUefi_023(),,,,Yes
Bmc.Testcase_BmcSetBootOptionLegacy_005(),,,,Yes
Bmc.Testcase_BmcSetBootOptionLegacy_006(),,,,Yes
Bmc.Testcase_BmcSetBootOptionLegacy_009(),,,,Yes
Bmc.Testcase_BmcSetBootOptionLegacy_010(),,,,Yes
Bmc.Testcase_BmcSetBootOptionLegacy_011(),,,,Yes
Bmc.Testcase_BmcSetBootOptionLegacy_012(),,,,Yes
Bmc.Testcase_BmcSetBootOptionLegacy_013(),,,Yes,Yes
Bmc.Testcase_BmcSetBootOptionLegacy_023(),,,,Yes
Bmc.Testcase_NetworkMode_001(),,,Yes,Yes
Bmc.Testcase_Ssh_001(),,,Yes,Yes
Bmc.Testcase_SmartCoolingAir_001(),,,Yes,Yes
BootDevice.Testcase_BootOverrideUefi_001(),,,Yes,Yes
BootDevice.Testcase_BootOverrideUefi_006(),,,,Yes
BootDevice.Testcase_BootOrderUefi_006(),,,Yes,Yes
BootDevice.Testcase_PxeRetry_002(),,,Yes,Yes
BootDevice.Testcase_SpBoot_001(),,,Yes,Yes
BootDevice.Testcase_SpBoot_002(),,,Yes,Yes
BootDevice.Testcase_SpBootUefi_001(),,,,Yes
BootDevice.Testcase_SpBootUefi_007(),,,,Yes
BootDevice.Testcase_SpBootUefi_002(),,,,Yes
BootDevice.Testcase_SpBootLegacy_001(),,,,Yes
BootDevice.Testcase_SpBootLegacy_007(),,,,Yes
BootDevice.Testcase_BootOverrideLegacy_001(),,,,Yes
BootDevice.Testcase_BootOverrideLegacy_006(),,,,Yes
BootDevice.Testcase_BootOrderLegacy_004(),,,,Yes
BootDevice.Testcase_BootOrderLegacy_006(),,,,Yes
BootDevice.Testcase_BootFailPolicy_001(),,,,Yes
BootDevice.Testcase_BootDeviceTypeUefi_004(),,,Yes,Yes
BootDevice.Testcase_BootDeviceTypeLegacy_004(),,,,Yes
BootDevice.Testcase_BootFailPolicy_003(),,,,Yes
BootOS.Testcase_PxeBootUefi_001(),,,Yes,Yes
BootOS.Testcase_PxeBootUefi_003(),,,,Yes
BootOS.Testcase_PxeBootLegacy_001(),,,Yes,Yes
BootOS.Testcase_PxeBootLegacy_003(),,,,Yes
