Name,Group,Daily
Release.bios_parallel_flash(),,
BiosTest.post_test(),,Yes
Release.post_logo_check(),,Yes
Release.boot_to_uefi_os(),,Yes
BiosTest.warm_reboot(),,
BiosTest.cold_reboot(),,
Release.check_bmc_warning(),,Yes
Release.me_version_status(),,Yes
Release.kvm_logo_check(),,Yes
BiosTest.pxe_test(),,
BiosTest.security_boot(),,Yes
Release.chipsec_test(),,
BiosTest.usb_test(),,Yes
CpuInit01.cpu_mem_info(),,Yes
BiosTest.press_f2(),,Yes
CpuInit01.static_turbo_default(),,Yes
CpuInit01.ufs_default_value(),,Yes
DefaultValueTest.rrqirq(),,Yes
BiosTest.dram_rapl_option_check(),,Yes
BiosTest.testcase_vtd_002(),,Yes
BiosTest.testcase_vtd_003(),,Yes
BiosTest.cnd_default_enable(),,Yes
BiosTest.testcase_loadDefault_001(),,Yes
CpuInit01.upi_link_status(),,Yes
CpuInit01.cpu_cores_active_enable_1(),,Yes
CpuInit01.cpu_cores_active_enable_middle(),,Yes
CpuInit01.cpu_cores_active_enable_max(),,Yes
CpuInit01.cpu_cores_disable_sys_normally(),,Yes
CpuInit01.cores_customized_by_unitool(),,Yes
CpuInit01.numa_01(),,Yes
CpuInit01.numa_02(),,Yes
CpuInit01.numa_03(),,Yes
CpuInit01.cpu_compa_02(),,Yes
CpuInit01.cpu_compa_03(),,Yes
CpuInit01.cpu_compa_05(),,Yes
CpuInit01.cpu_compa_06(),,Yes
CpuInit01.cpu_compa_017(),,Yes
CpuInit01.cpu_compa_024(),,Yes
CpuInit01.testcase_coreDisable_008(),,Yes
CpuInit01.testcase_coreDisable_009(),,Yes
CpuInit01.testcase_coreDisable_010(),,Yes
CpuInit01.testcase_coreDisable_011(),,Yes
CpuInit01.testcase_coreDisable_012(),,Yes
CpuInit01.Cpu_Lock_Frequency(),,Yes
CpuInit01.eist_features_test(),,Yes
Security22.pwd_test_all(),,Yes
Dfx20.cnd_support_test01(),,Yes
Dfx20.cnd_support_test02(),,Yes
